rank,hand,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
1,AA,6,31.08314,0.00098,4048809773,1,1
2,KK,6,26.09095,0.00133,4048826248,2,2
3,QQ,6,22.22979,0.00113,4048778553,3,3
4,AKs,4,20.68805,0.00057,2699297916,4,4
5,JJ,6,19.32924,0.00097,4048788247,5,5
6,AQs,4,19.2428,0.00076,2699240138,6,6
7,KQs,4,18.62959,0.00072,2699203562,7,7
8,AJs,4,18.16412,0.00063,2699218507,8,8
9,KJs,4,17.63667,0.00071,2699220571,9,9
10,ATs,4,17.35315,0.00047,2699298131,10,10
11,QJs,4,17.22235,0.00079,2699176722,11,11
12,AKo,12,17.21064,0.00062,8097753858,12,12
13,TT,6,17.14762,0.00085,4048893531,13,13
14,KTs,4,16.89945,0.00068,2699258228,14,14
15,QTs,4,16.56145,0.0008,2699231497,15,15
16,JTs,4,16.55051,0.00067,2699186026,16,16
17,99,6,15.55879,0.00073,4048850811,17,17
18,AQo,12,15.54091,0.00063,8097679392,18,18
19,A9s,4,15.37259,0.00059,2699251354,19,19
20,KQo,12,15.09703,0.00066,8097689758,20,20
21,K9s,4,14.85316,0.00084,2699247022,21,21
22,T9s,4,14.85045,0.00058,2699248508,22,22
23,A8s,4,14.76024,0.00043,2699232844,23,23
24,J9s,4,14.56933,0.00076,2699222415,24,24
25,Q9s,4,14.53038,0.00069,2699213269,25,25
26,88,6,14.4737,0.00083,4048818905,26,26
27,A5s,4,14.44779,0.00041,2699259623,27,27
28,AJo,12,14.29298,0.00067,8097763554,28,28
29,A7s,4,14.27909,0.00054,2699212439,29,29
30,A4s,4,14.21119,0.00075,2699267283,30,30
31,A3s,4,13.96327,0.00052,2699253776,31,31
32,KJo,12,13.94107,0.0007,8097667888,32,32
33,A6s,4,13.92024,0.00052,2699234913,33,33
34,QJo,12,13.68926,0.00049,8097541708,34,34
35,77,6,13.64845,0.00062,4048760075,35,35
36,A2s,4,13.59159,0.00052,2699270604,36,36
37,K8s,4,13.57235,0.00053,2699243588,37,37
38,T8s,4,13.54997,0.00083,2699250282,38,38
39,98s,4,13.38428,0.0004,2699245826,39,39
40,ATo,12,13.35646,0.00034,8097814998,40,40
41,J8s,4,13.23927,0.00053,2699208880,41,41
42,Q8s,4,13.20004,0.00058,2699221024,42,42
43,K7s,4,13.12539,0.00056,2699196291,43,43
44,KTo,12,13.08242,0.00067,8097787095,44,44
45,JTo,12,13.06722,0.00061,8097681419,45,45
46,66,6,13.02469,0.00054,4048813312,46,46
47,QTo,12,12.91261,0.00053,8097679910,47,47
48,K6s,4,12.77469,0.00059,2699240113,48,48
49,87s,4,12.73801,0.00058,2699195813,49,49
50,K5s,4,12.50744,0.00061,2699225048,50,50
51,97s,4,12.48074,0.00029,2699170073,51,51
52,55,6,12.37827,0.0007,4048837128,52,52
53,T7s,4,12.32487,0.00064,2699204162,53,53
54,K4s,4,12.29458,0.00067,2699240582,54,54
55,76s,4,12.25672,0.00065,2699151947,55,55
56,44,6,12.15273,0.00095,4048767658,56,56
57,K3s,4,12.12055,0.00045,2699269654,57,57
58,Q7s,4,12.08135,0.00054,2699129009,58,58
59,J7s,4,12.03143,0.00072,2699142636,59,59
60,33,6,12.00525,0.00094,4048847108,60,60
61,K2s,4,11.96139,0.00056,2699284820,61,61
62,22,6,11.93147,0.0006,4048851557,62,62
63,86s,4,11.89638,0.00044,2699175437,63,63
64,65s,4,11.89302,0.00052,2699186755,64,64
65,Q6s,4,11.75012,0.00052,2699197294,65,65
66,54s,4,11.65677,0.00073,2699215684,66,66
67,Q5s,4,11.50829,0.00048,2699186065,67,67
68,75s,4,11.46057,0.00046,2699115770,68,68
69,96s,4,11.40729,0.00055,2699237708,69,69
70,T9o,12,11.33032,0.00057,8097811249,70,70
71,Q4s,4,11.30994,0.0005,2699198245,71,71
72,T6s,4,11.19572,0.00045,2699240203,72,72
73,A9o,12,11.1818,0.00065,8097727248,73,73
74,Q3s,4,11.14352,0.00061,2699199834,74,74
75,64s,4,11.07609,0.00049,2699215999,75,75
76,J6s,4,11.01641,0.0005,2699216574,76,76
77,Q2s,4,10.99169,0.00058,2699196593,77,77
78,J9o,12,10.88946,0.00057,8097596339,78,78
79,85s,4,10.87195,0.0007,2699270610,79,79
80,53s,4,10.85078,0.0006,2699201175,80,80
81,K9o,12,10.83666,0.00047,8097749346,81,81
82,J5s,4,10.77114,0.00048,2699191364,82,82
83,Q9o,12,10.68164,0.00053,8097598335,83,83
84,J4s,4,10.58008,0.00031,2699205132,84,84
85,A8o,12,10.49533,0.00044,8097755012,85,85
86,74s,4,10.43428,0.00065,2699188060,86,86
87,J3s,4,10.41867,0.00056,2699205911,87,87
88,43s,4,10.38448,0.00072,2699253541,88,88
89,95s,4,10.34965,0.00054,2699233622,89,89
90,J2s,4,10.27255,0.00046,2699205840,90,90
91,T5s,4,10.25709,0.00064,2699226642,91,91
92,A5o,12,10.12884,0.00054,8097799513,92,92
93,63s,4,10.06247,0.00059,2699207500,93,93
94,T4s,4,10.04585,0.00052,2699221926,94,94
95,A7o,12,9.95926,0.0004,8097650713,95,95
96,T8o,12,9.90572,0.00058,8097836545,96,96
97,T3s,4,9.88449,0.00058,2699256562,97,97
98,A4o,12,9.86981,0.00054,8097697127,98,98
99,52s,4,9.8434,0.00054,2699194368,99,99
100,98o,12,9.83592,0.00051,8097634285,100,100
101,84s,4,9.82519,0.00054,2699213369,101,101
102,T2s,4,9.74077,0.00027,2699230637,102,102
103,A3o,12,9.60191,0.00048,8097754689,103,103
104,42s,4,9.59435,0.00068,2699196587,104,104
105,A6o,12,9.56291,0.00051,8097698264,105,105
106,94s,4,9.43628,0.00031,2699189453,106,106
107,K8o,12,9.4328,0.00044,8097782123,107,108
108,J8o,12,9.43171,0.00054,8097669465,107,108
109,73s,4,9.40115,0.00072,2699160440,109,109
110,93s,4,9.24727,0.00031,2699256379,110,110
111,Q8o,12,9.22487,0.00047,8097631690,111,111
112,87o,12,9.2159,0.00041,8097517506,112,112
113,A2o,12,9.2025,0.0006,8097764942,113,113
114,32s,4,9.16594,0.00051,2699204989,114,114
115,92s,4,9.10112,0.00037,2699253379,115,115
116,62s,4,9.04205,0.00039,2699227957,116,116
117,K7o,12,8.93254,0.00047,8097629710,117,118
118,83s,4,8.93149,0.00052,2699209446,117,118
119,97o,12,8.85134,0.00052,8097542915,119,119
120,76o,12,8.76187,0.00059,8097485798,120,120
121,82s,4,8.75545,0.00054,2699218202,121,121
122,T7o,12,8.57411,0.00048,8097566004,122,122
123,K6o,12,8.54475,0.00039,8097766779,123,123
124,72s,4,8.52096,0.00061,2699217434,124,124
125,65o,12,8.42188,0.00034,8097666060,125,125
126,86o,12,8.30931,0.0004,8097655963,126,126
127,K5o,12,8.25025,0.00037,8097682918,127,127
128,54o,12,8.19951,0.00054,8097600026,128,128
129,J7o,12,8.12022,0.00047,8097500501,129,129
130,K4o,12,8.01642,0.00058,8097741375,130,130
131,Q7o,12,8.00887,0.00044,8097507438,131,131
