rank,hand,combos,equity_pct,win_pct,tie_pct,win_count,tie_count,denominator,rank_low,rank_high
1,AA,6,85.203713,84.931915,0.543596,10689050508,68413872,12585434400,1,1
2,KK,6,82.39568,82.117335,0.556689,10334823348,70061760,12585434400,2,2
3,QQ,6,79.925164,79.63199,0.586348,10022031864,73794456,12585434400,3,3
4,JJ,6,77.469473,77.15298,0.632987,9710037624,79664136,12585434400,4,4
5,TT,6,75.01178,74.660265,0.70303,9396318660,88479396,12585434400,5,5
6,99,6,72.057252,71.665652,0.7832,9019433616,98569116,12585434400,6,6
7,88,6,69.163035,68.717382,0.891306,8648381088,112174740,12585434400,7,7
8,AKs,4,67.044632,66.219608,1.650049,5556016860,138443904,8390289600,8,8
9,77,6,66.236023,65.725354,1.021338,8271821268,128539860,12585434400,9,9
10,AQs,4,66.208862,65.313699,1.790327,5480008468,150213656,8390289600,10,10
11,AJs,4,65.392679,64.397621,1.990117,5403146868,166976560,8390289600,11,11
12,AKo,12,65.320072,64.469378,1.701388,16227502536,428254068,25170868800,12,12
13,ATs,4,64.602387,63.488915,2.226943,5326903848,186846984,8390289600,13,13
14,AQo,12,64.431839,63.508787,1.846104,15985713540,464680428,25170868800,14,14
15,AJo,12,63.563258,62.535175,2.056166,15740646876,517554756,25170868800,15,15
16,KQs,4,63.400403,62.40842,1.983967,5236247160,166460568,8390289600,16,16
17,66,6,63.284748,62.700024,1.169449,7891070340,147180264,12585434400,17,17
18,A9s,4,62.781214,61.509674,2.54308,5160839760,213371804,8390289600,18,18
19,ATo,12,62.721655,61.568084,2.307141,15497221704,580727388,25170868800,19,19
20,KJs,4,62.56734,61.476557,2.181567,5158061144,183039776,8390289600,20,20
21,A8s,4,61.943811,60.507809,2.872003,5076780420,240969364,8390289600,21,21
22,KTs,4,61.788558,60.587065,2.402986,5083430220,201617500,8390289600,22,22
23,KQo,12,61.4558,60.432253,2.047095,15211323060,515271480,25170868800,23,23
24,A7s,4,60.983959,59.386672,3.194572,4982713800,268033864,8390289600,24,24
25,A9o,12,60.772806,59.449741,2.64613,14964016392,666053940,25170868800,25,25
26,KJo,12,60.568685,59.441233,2.254904,14961874836,567578880,25170868800,26,26
27,55,6,60.324921,59.640035,1.36977,7505957532,172391532,12585434400,27,27
28,QJs,4,60.259205,59.070876,2.376658,4956217576,199408492,8390289600,28,28
29,K9s,4,59.988476,58.638139,2.700672,4919909716,226594212,8390289600,29,29
30,A5s,4,59.922926,58.064119,3.717612,4871747772,311918448,8390289600,30,30
31,A6s,4,59.905828,58.178898,3.45386,4881378024,289788872,8390289600,31,31
32,A8o,12,59.872605,58.374156,2.996899,14693282100,754345548,25170868800,32,32
33,KTo,12,59.738915,58.494284,2.489262,14723519508,626568888,25170868800,33,33
34,QTs,4,59.467559,58.17064,2.593839,4880685140,217630608,8390289600,34,34
35,A4s,4,59.033636,57.137799,3.791673,4794026832,318132376,8390289600,35,35
36,A7o,12,58.841195,57.169515,3.34336,14390063712,841552776,25170868800,36,36
37,K8s,4,58.31235,56.79041,3.04388,4764879872,255390320,8390289600,37,37
38,A3s,4,58.220321,56.335054,3.770534,4726674144,316358720,8390289600,38,38
39,QJo,12,58.13469,56.906232,2.456916,14323792908,618427116,25170868800,39,39
40,K9o,12,57.811925,56.407644,2.808562,14198293956,706939500,25170868800,40,40
41,A5o,12,57.696534,55.742294,3.908481,14030819688,983798556,25170868800,41,41
42,A6o,12,57.682452,55.870306,3.624293,14063041320,912266136,25170868800,42,42
43,Q9s,4,57.664322,56.222796,2.883051,4717255432,241896312,8390289600,43,43
44,K7s,4,57.537738,55.846321,3.382833,4685668056,283829500,8390289600,44,44
45,JTs,4,57.527857,56.154781,2.746152,4711548744,230410136,8390289600,45,45
46,A2s,4,57.378898,55.506261,3.745275,4657136004,314239392,8390289600,46,46
47,QTo,12,57.290783,55.94739,2.686786,14082444036,676287372,25170868800,47,47
48,44,6,57.022821,56.256514,1.532614,7080126660,192886188,12585434400,48,48
49,A4o,12,56.729678,54.73287,3.993614,13776739008,1005227436,25170868800,49,49
50,K6s,4,56.640736,54.804671,3.672128,4598270648,308102188,8390289600,50,50
51,K8o,12,56.020173,54.431634,3.177078,13700915064,799698144,25170868800,51,51
52,Q8s,4,56.017733,54.417019,3.201429,4565745456,268609136,8390289600,52,52
53,A3o,12,55.844602,53.855312,3.978581,13555849932,1001443308,25170868800,53,53
54,K5s,4,55.792918,53.833852,3.918131,4516816096,328742540,8390289600,54,54
55,J9s,4,55.662471,54.111984,3.100972,4540152204,260180548,8390289600,55,55
56,Q9o,12,55.360435,53.862004,2.996862,13557534336,754336212,25170868800,56,56
57,JTo,12,55.247703,53.826005,2.843396,13548473136,715707444,25170868800,57,57
58,K7o,12,55.18735,53.417328,3.540044,13445605572,891059868,25170868800,58,58
59,A2o,12,54.928559,52.947305,3.962506,13327296792,997397292,25170868800,59,59
60,K4s,4,54.884637,52.888844,3.991586,4437527136,334905636,8390289600,60,60
61,Q7s,4,54.302263,52.523486,3.557553,4406872624,298489036,8390289600,61,61
62,K6o,12,54.223279,52.29712,3.852317,13163639580,969661644,25170868800,62,62
63,K3s,4,54.054976,52.070127,3.969699,4368834452,333069232,8390289600,63,63
