rank,hand,label,notation,combos,equity_pct,win_pct,tie_pct,win_count,tie_count,denominator,rank_low,rank_high
1,AdAcTdTc,AATT (ds),(AT)(AT),6,71.526305,71.356856,0.338898,904728308004,4296866520,1267892619840,1,1
2,AdAcJdJc,AAJJ (ds),(AJ)(AJ),6,71.191629,71.022908,0.337443,900494207784,4278413880,1267892619840,2,2
3,AdAcQdQc,AAQQ (ds),(AQ)(AQ),6,70.908448,70.740401,0.336094,896912322792,4261314228,1267892619840,3,3
4,AdAc5d5c,AA55 (ds),(A5)(A5),6,70.792311,70.634574,0.315474,895570550976,3999867696,1267892619840,4,4
5,AdAc9d9c,AA99 (ds),(A9)(A9),6,70.729626,70.601047,0.257158,895145464392,3260490180,1267892619840,5,5
6,AdAcKdKc,AAKK (ds),(AK)(AK),6,70.678075,70.510624,0.334902,893998993980,4246201344,1267892619840,6,6
7,AdAcJcTd,AAJT (ds),(AJ)(AT),12,70.597502,70.142834,0.909336,1778671630392,23058819336,2535785239680,7,7
8,AdAc8d8c,AA88 (ds),(A8)(A8),6,70.535504,70.406594,0.257819,892680012948,3268869120,1267892619840,8,8
9,AdAc7d7c,AA77 (ds),(A7)(A7),6,70.424719,70.29575,0.257938,891274626612,3270373680,1267892619840,9,9
10,AdAcTc9d,AAT9 (ds),(AT)(A9),12,70.400134,69.952019,0.89623,1773832966524,22726470660,2535785239680,10,10
11,AdAc6d6c,AA66 (ds),(A6)(A6),6,70.395562,70.266805,0.257514,890907632808,3265003860,1267892619840,11,11
12,AdAc4d4c,AA44 (ds),(A4)(A4),6,70.219376,70.062249,0.314255,888314078340,3984418488,1267892619840,12,12
13,AdAcTc8d,AAT8 (ds),(AT)(A8),12,70.201799,69.761944,0.879708,1769013091260,22307512224,2535785239680,13,13
14,AdAc9c8d,AA98 (ds),(A9)(A8),12,70.069351,69.618798,0.901107,1765383191736,22850148096,2535785239680,14,14
15,AdAc8c7d,AA87 (ds),(A8)(A7),12,69.858191,69.410256,0.895871,1760095020384,22717358760,2535785239680,15,15
16,AdAcQcTd,AAQT (ds),(AQ)(AT),12,69.815015,69.425122,0.779785,1760472004176,19773674352,2535785239680,16,16
17,AdAcQcJd,AAQJ (ds),(AQ)(AJ),12,69.801508,69.409993,0.78303,1760088347148,19855968516,2535785239680,17,17
18,AdAc7c6d,AA76 (ds),(A7)(A6),12,69.70533,69.258731,0.8932,1756252670856,22649621856,2535785239680,18,18
19,AdAcTc7d,AAT7 (ds),(AT)(A7),12,69.670679,69.293717,0.753924,1757139849480,19117897764,2535785239680,19,19
20,AdAc3d3c,AA33 (ds),(A3)(A3),6,69.628599,69.471978,0.313243,880830084180,3971578884,1267892619840,20,20
21,AdAcJc9d,AAJ9 (ds),(AJ)(A9),12,69.585579,69.20228,0.766597,1754821209540,19439264640,2535785239680,21,21
22,AdAc7c5d,AA75 (ds),(A7)(A5),12,69.546315,69.12822,0.836189,1752943199316,21203962680,2535785239680,22,22
23,AdAcJc8d,AAJ8 (ds),(AJ)(A8),12,69.473842,69.098566,0.750553,1752191235132,19032405852,2535785239680,23,23
24,AdAc6c5d,AA65 (ds),(A6)(A5),12,69.412429,68.967407,0.890045,1748865317652,22569622740,2535785239680,24,24
25,AdAc9c7d,AA97 (ds),(A9)(A7),12,69.364077,68.98256,0.763034,1749249580668,19348899924,2535785239680,25,25
26,AdAc8c6d,AA86 (ds),(A8)(A6),12,69.215896,68.836118,0.759557,1745536114812,19260739500,2535785239680,26,26
27,AdAc8c5d,AA85 (ds),(A8)(A5),12,69.192006,68.836629,0.710754,1745549087880,18023192796,2535785239680,27,27
