rank,hand,label,notation,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
1,AdAcKdKc,AAKK (ds),(AK)(AK),6,29.6381,0.00546,128632776,1,1
2,AdAcQdQc,AAQQ (ds),(AQ)(AQ),6,29.01606,0.00368,128581478,2,2
3,AdAcJdJc,AAJJ (ds),(AJ)(AJ),6,28.55401,0.00355,128604434,3,3
4,AdAcTdTc,AATT (ds),(AT)(AT),6,28.19964,0.00573,128599227,4,4
5,KdKcQdQc,KKQQ (ds),(KQ)(KQ),6,27.51764,0.00483,128605673,5,5
6,KdKcJdJc,KKJJ (ds),(KJ)(KJ),6,26.91679,0.00439,128600684,6,6
7,KdKcTdTc,KKTT (ds),(KT)(KT),6,26.47839,0.00427,128576961,7,7
8,AdAcJcTd,AAJT (ds),(AJ)(AT),12,26.43809,0.00392,257198034,8,8
9,AdAc9d9c,AA99 (ds),(A9)(A9),6,26.10538,0.00524,128600759,9,9
10,AdAc8d8c,AA88 (ds),(A8)(A8),6,26.03577,0.00429,128587234,10,10
11,AdAc5d5c,AA55 (ds),(A5)(A5),6,25.85064,0.00327,128614811,11,11
12,AdAcQcJd,AAQJ (ds),(AQ)(AJ),12,25.8157,0.0031,257207960,12,12
13,AdAcQcTd,AAQT (ds),(AQ)(AT),12,25.77549,0.0027,257201907,13,13
14,QdQcJdJc,QQJJ (ds),(QJ)(QJ),6,25.7236,0.00348,128595574,14,14
15,AdAc7d7c,AA77 (ds),(A7)(A7),6,25.67723,0.00545,128618183,15,15
16,AdAcTc9d,AAT9 (ds),(AT)(A9),12,25.46713,0.0035,257191810,16,16
17,AdAc4d4c,AA44 (ds),(A4)(A4),6,25.39923,0.00508,128639304,17,17
18,AdAcKhKc,AAKK (ss),(AK)AK,24,25.35515,0.00384,514528884,18,18
19,AdAcKcQd,AAKQ (ds),(AK)(AQ),12,25.34443,0.00213,257233066,19,19
20,AdAcKcJd,AAKJ (ds),(AK)(AJ),12,25.24702,0.00431,257225206,20,20
21,AdAcKcTd,AAKT (ds),(AK)(AT),12,25.21029,0.00343,257218055,21,21
22,QdQcTdTc,QQTT (ds),(QT)(QT),6,25.17494,0.00446,128605466,22,22
23,AdAcTc8d,AAT8 (ds),(AT)(A8),12,25.06521,0.00396,257190669,23,23
24,AdAc6d6c,AA66 (ds),(A6)(A6),6,25.03774,0.004,128610418,24,24
25,AdAc3d3c,AA33 (ds),(A3)(A3),6,24.88338,0.00308,128606533,25,25
26,AdAcJc9d,AAJ9 (ds),(AJ)(A9),12,24.74512,0.00275,257214053,26,26
27,AdAcQhQc,AAQQ (ss),(AQ)AQ,24,24.70959,0.00255,514442732,27,27
28,JdJcTdTc,JJTT (ds),(JT)(JT),6,24.44712,0.00271,128593903,28,28
29,AcKdKcQd,AKKQ (ds),(AK)(KQ),12,24.41385,0.00268,257241186,29,29
30,AdAcTc7d,AAT7 (ds),(AT)(A7),12,24.39694,0.0037,257217753,30,30
31,AdAcJc8d,AAJ8 (ds),(AJ)(A8),12,24.38731,0.00259,257206609,31,31
32,KdKcJcTd,KKJT (ds),(KJ)(KT),12,24.37544,0.00202,257169731,32,32
33,AdAc2d2c,AA22 (ds),(A2)(A2),6,24.2867,0.00288,128612150,33,34
34,AcKdKcJd,AKKJ (ds),(AK)(KJ),12,24.2814,0.00236,257242648,33,35
35,KdKc9d9c,KK99 (ds),(K9)(K9),6,24.27199,0.00523,128596589,34,35
36,AdAcJhJc,AAJJ (ss),(AJ)AJ,24,24.21791,0.00233,514451250,36,37
37,AcKdKcTd,AKKT (ds),(AK)(KT),12,24.21139,0.00287,257219973,36,38
38,AdAc9c8d,AA98 (ds),(A9)(A8),12,24.20412,0.00328,257169367,37,38
39,KdKcQhQc,KKQQ (ss),(KQ)KQ,24,24.11426,0.00282,514418574,39,39
40,AdAcQc9d,AAQ9 (ds),(AQ)(A9),12,24.07801,0.00286,257169896,40,40
41,AdAc7c5d,AA75 (ds),(A7)(A5),12,24.00907,0.00373,257205325,41,41
42,AdAc8c7d,AA87 (ds),(A8)(A7),12,23.94292,0.00295,257205387,42,44
43,AdAcKc5d,AAK5 (ds),(AK)(A5),12,23.94067,0.00312,257203492,42,44
44,AdAc6c5d,AA65 (ds),(A6)(A5),12,23.93928,0.00291,257220090,42,44
