rank,hand,label,notation,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
1,AdAcKhKcTd,AAKKT (ds),(AK)(AT)K,24,26.248,0.00549,40453739,1,1
2,AdAcKhKcJd,AAKKJ (ds),(AK)(AJ)K,24,26.15527,0.00527,40443475,2,3
3,AdAcKdKcTh,AAKKT (ds),(AK)(AK)T,12,26.14544,0.00835,20221996,2,4
4,AdAcKhKcQd,AAKKQ (ds),(AK)(AQ)K,24,26.12612,0.00614,40446248,3,4
5,AdAcKdKcQh,AAKKQ (ds),(AK)(AK)Q,12,26.08264,0.00744,20226355,5,6
6,AdAcKdKcJh,AAKKJ (ds),(AK)(AK)J,12,26.07846,0.00819,20224359,5,6
7,AdAcQhQcTd,AAQQT (ds),(AQ)(AT)Q,24,25.874,0.0043,40451678,7,7
8,AdAcQhQcJd,AAQQJ (ds),(AQ)(AJ)Q,24,25.81777,0.00756,40447347,8,8
9,AdAcQdQcJh,AAQQJ (ds),(AQ)(AQ)J,12,25.78965,0.00734,20222466,9,10
10,AdAcQdQcTh,AAQQT (ds),(AQ)(AQ)T,12,25.78386,0.0115,20221887,9,11
11,AdAcKhQdQc,AAKQQ (ds),(AQ)(AQ)K,12,25.76242,0.00911,20219884,10,12
12,AdAcJhJcTd,AAJJT (ds),(AJ)(AT)J,24,25.74673,0.00466,40446716,11,13
13,AdAcKcQhQd,AAKQQ (ds),(AK)(AQ)Q,24,25.73559,0.00547,40455155,12,13
14,AdAcJdJcTh,AAJJT (ds),(AJ)(AJ)T,12,25.70212,0.01113,20224735,14,14
15,AdAcJhTdTc,AAJTT (ds),(AT)(AT)J,12,25.63174,0.01027,20227044,15,15
16,AdAcQhJdJc,AAQJJ (ds),(AJ)(AJ)Q,12,25.59802,0.01005,20224693,16,17
17,AdAcJcThTd,AAJTT (ds),(AJ)(AT)T,24,25.58728,0.00613,40445356,16,17
18,AdAcQcJhJd,AAQJJ (ds),(AQ)(AJ)J,24,25.55166,0.00898,40453742,18,18
19,AdAcKhKc5d,AAKK5 (ds),(AK)(A5)K,24,25.29433,0.0065,40457715,19,19
20,AdAcKdKc5h,AAKK5 (ds),(AK)(AK)5,12,25.15924,0.00581,20215484,20,21
21,AdAcKhKc4d,AAKK4 (ds),(AK)(A4)K,24,25.15913,0.00686,40446415,20,21
22,AdAcKdKc4h,AAKK4 (ds),(AK)(AK)4,12,25.06092,0.00848,20228122,22,23
23,AdAcKdKcTc,AAKKT (3s2),(AKT)(AK),12,25.0567,0.01275,20222223,22,23
24,AdAcKhKc9d,AAKK9 (ds),(AK)(A9)K,24,25.01733,0.00721,40455285,24,26
25,AdAcQhTdTc,AAQTT (ds),(AT)(AT)Q,12,25.01629,0.00617,20230031,24,26
26,AdAcKhJdJc,AAKJJ (ds),(AJ)(AJ)K,12,25.00328,0.01119,20226575,24,27
27,AdAcKhKc3d,AAKK3 (ds),(AK)(A3)K,24,24.9906,0.00507,40442910,26,27
28,AdAcKdKcJc,AAKKJ (3s2),(AKJ)(AK),12,24.96029,0.00692,20226605,28,29
29,AdAcKhKc7d,AAKK7 (ds),(AK)(A7)K,24,24.95177,0.00747,40448544,28,32
30,AdAcQcThTd,AAQTT (ds),(AQ)(AT)T,24,24.94078,0.0058,40452646,29,33
31,AdAcKhKc6d,AAKK6 (ds),(AK)(A6)K,24,24.93857,0.00692,40453780,29,34
32,AdAcKdKcQc,AAKKQ (3s2),(AKQ)(AK),12,24.93546,0.0108,20229511,28,35
33,AdAcKcJhJd,AAKJJ (ds),(AK)(AJ)J,24,24.92788,0.00711,40441284,30,35
34,AdAcKdKc3h,AAKK3 (ds),(AK)(AK)3,12,24.92346,0.00508,20222006,31,35
35,AdAcKhKc8d,AAKK8 (ds),(AK)(A8)K,24,24.92098,0.00497,40455977,32,35
36,AdAcKdKc9h,AAKK9 (ds),(AK)(AK)9,12,24.88632,0.00707,20228526,36,36
37,AdAcKdKc7h,AAKK7 (ds),(AK)(AK)7,12,24.81944,0.01018,20221998,37,38
38,AdAcKdKc6h,AAKK6 (ds),(AK)(AK)6,12,24.81523,0.00954,20226908,37,38
39,AdAcKhKc2d,AAKK2 (ds),(AK)(A2)K,24,24.77991,0.00844,40446087,39,42
40,AdAcKhKcTh,AAKKT (ds),(AK)A(KT),24,24.77879,0.00268,40446500,39,42
41,AdAcKdKc8h,AAKK8 (ds),(AK)(AK)8,12,24.77498,0.01162,20217538,39,42
42,AdAcKdKc2h,AAKK2 (ds),(AK)(AK)2,12,24.7699,0.01112,20226613,39,42
43,AdAcKhKcJh,AAKKJ (ds),(AK)A(KJ),24,24.70961,0.00529,40451472,43,45
