rank,hand,label,notation,combos,equity_pct,hi_equity_pct,lo_equity_pct,hi_win_pct,hi_tie_pct,lo_win_pct,lo_tie_pct,hi_numerator,lo_numerator,denominator,hi_win_count,hi_tie_count,lo_win_count,lo_tie_count,deals,rank_low,rank_high
1,AdAc3c2d,AA32 (ds),(A3)(A2),12,72.603305,50.028443,22.574861,66.850944,0.619568,44.090158,2.119129,5074455511320,2289800016000,10143140958720,1695196378716,15710907168,1118031722112,53736571776,2535785239680,1,1
2,AdAc4c2d,AA42 (ds),(A4)(A2),12,72.448107,50.174628,22.273479,67.136868,0.617248,43.528469,2.036977,5089283247732,2259230332800,10143140958720,1702446790116,15652080312,1103788482624,51653367552,2535785239680,2,2
3,AdAc4c3d,AA43 (ds),(A4)(A3),12,72.41518,50.538084,21.877096,67.789435,0.749637,42.77376,1.960863,5126149068252,2219024675328,10143140958720,1718994484740,19009189068,1084650703872,49723267584,2535785239680,3,3
4,AdAc5c2d,AA52 (ds),(A5)(A2),12,72.143751,50.321395,21.822356,67.382147,0.616908,42.665301,1.95882,5104170035172,2213472288768,10143140958720,1708666541700,15643451784,1081900411584,49671465600,2535785239680,4,4
5,AdAc5c3d,AA53 (ds),(A5)(A3),12,72.14206,50.705326,21.436734,68.076565,0.747496,41.932115,1.882705,5143112688684,2174358146688,10143140958720,1726275481536,18954903108,1063308390528,47741365632,2535785239680,5,5
6,AdAc5c4d,AA54 (ds),(A5)(A4),12,71.980558,51.064182,20.916375,68.719122,0.881507,40.928015,1.809472,5179511995044,2121577450368,10143140958720,1742569362120,22353125784,1037846567040,45884316288,2535785239680,6,6
7,AdAc6c3d,AA63 (ds),(A6)(A3),12,71.332914,50.491137,20.841777,67.64244,0.622769,40.761116,1.844875,5121387183984,2114010787200,10143140958720,1715267020068,15792084324,1033614353856,46782079488,2535785239680,7,7
8,AdAc6c2d,AA62 (ds),(A6)(A2),12,71.314875,50.097852,21.217023,66.929011,0.492788,41.473552,1.92099,5081495733684,2152072600320,10143140958720,1697175970308,12496056060,1051680210432,48712179456,2535785239680,8,8
9,AdAc6c4d,AA64 (ds),(A6)(A4),12,71.203235,50.871442,20.331793,68.328584,0.755404,39.777765,1.771642,5159962108128,2062282419840,10143140958720,1732666154316,19155417456,1008678694848,44925030144,2535785239680,9,9
10,AdAc6c5d,AA65 (ds),(A6)(A5),12,70.988487,51.292306,19.696181,68.967407,0.890045,38.541718,1.701289,5202650868084,1997811407616,10143140958720,1748865317652,22569622740,977335188096,43141031424,2535785239680,10,10
11,AdAc2d2c,AA22 (ds),(A2)(A2),6,70.757514,53.74101,17.016504,68.838988,0.313209,33.410623,1.244772,2725513208028,863004002688,5071570479360,872804448948,3971158272,423610817664,15782367360,1267892619840,11,11
12,AdAc3d3c,AA33 (ds),(A3)(A3),6,70.693405,54.088315,16.60509,69.471978,0.313243,32.618991,1.182378,2743127010096,842138841216,5071570479360,880830084180,3971578884,413573776128,14991288960,1267892619840,12,12
