rank,hand,label,notation,combos,equity_pct,std_error_pp,std_error_cmp_pp,hi_equity_pct,hi_std_error_pp,lo_equity_pct,lo_std_error_pp,hi_win_pct,hi_tie_pct,lo_win_pct,lo_tie_pct,scoop_pct,part_pot_pct,quarter_pct,half_pct,scooped_on_pct,samples,rank_low,rank_high
1,AdAc3c2d,AA32 (ds),(A3)(A2),12,48.79888,0.00439,0.00451,27.90229,0.00382,20.89658,0.00233,38.32911,0.78034,38.91375,5.81199,31.16257,35.71668,3.22693,29.92795,33.12075,289520743,1,1
2,AdAc4c2d,AA42 (ds),(A4)(A2),12,48.22272,0.00433,0.00423,28.10653,0.00333,20.11619,0.00243,38.70782,0.82623,37.53124,5.45135,30.87107,35.12406,3.03194,29.69004,34.00487,289515033,2,2
3,AdAc4c3d,AA43 (ds),(A4)(A3),12,47.61418,0.00386,0.0041,28.5159,0.00288,19.09828,0.00221,39.40297,1.07011,35.67405,5.09139,30.84744,33.7853,2.74299,28.58954,35.36726,289516034,3,3
4,AdAc5c2d,AA52 (ds),(A5)(A2),12,47.31602,0.00359,0.00342,28.26736,0.00308,19.04866,0.0019,38.9916,0.8459,35.58777,5.06453,30.19702,34.65364,2.84268,29.59942,35.14933,289525152,4,4
5,AdAc5c3d,AA53 (ds),(A5)(A3),12,46.8224,0.00443,0.00463,28.74151,0.00376,18.08088,0.00201,39.80091,1.12146,33.82629,4.71355,30.33435,33.20439,2.54996,28.35864,36.46126,289528703,5,5
6,AdAc5c4d,AA54 (ds),(A5)(A4),12,45.99511,0.00379,0.00353,29.15143,0.00301,16.84368,0.00184,40.48851,1.37392,31.53723,4.34024,30.05578,31.98588,2.32433,27.33957,37.95834,289514909,6,6
7,AdAc2d2c,AA22 (ds),(A2)(A2),6,45.65061,0.0047,0.00473,30.33231,0.00435,15.3183,0.00252,41.49571,0.32187,29.07331,3.1492,27.81234,36.03779,1.87038,32.92923,36.14987,144767990,7,7
8,AdAc6c2d,AA62 (ds),(A6)(A2),12,45.61298,0.00363,0.00343,27.89498,0.00359,17.71801,0.00254,38.30519,0.60528,33.08267,4.7524,28.33007,34.90082,2.74184,29.9047,36.76911,289536305,8,8
9,AdAc3h2c,AA32 (ss),(A2)A3,24,45.44248,0.00398,0.00395,24.54467,0.00353,20.89781,0.00196,33.65684,0.83591,38.91687,5.81061,26.94526,37.70311,3.48465,31.91876,35.35162,579019566,9,10
10,AdAc3c2h,AA32 (ss),(A3)A2,24,45.43375,0.00339,0.00353,24.53766,0.00297,20.89609,0.00245,33.64488,0.83407,38.91256,5.81236,26.93101,37.71516,3.48625,31.9297,35.35383,579055766,9,10
11,AdAc6c3d,AA63 (ds),(A6)(A3),12,45.174,0.00414,0.00429,28.37773,0.00344,16.79627,0.00216,39.13441,0.87509,31.40784,4.41238,28.49834,33.47432,2.44785,28.64081,38.02734,289533771,11,11
12,AdAc3d3c,AA33 (ds),(A3)(A3),6,45.01364,0.00359,0.00407,30.71927,0.00432,14.29437,0.00271,42.20019,0.34675,27.17343,2.85182,27.9007,34.50986,1.6417,31.70994,37.58945,144759256,12,12
13,AdAc4h2c,AA42 (ss),(A2)A4,24,44.87539,0.00413,0.00404,24.75927,0.00325,20.11612,0.00258,34.0547,0.88665,37.53055,5.45243,26.74951,36.91994,3.27423,31.48742,36.33055,579050199,13,14
14,AdAc4c2h,AA42 (ss),(A4)A2,24,44.87019,0.00435,0.00419,24.75378,0.00296,20.1164,0.00251,34.04498,0.88354,37.53215,5.45038,26.69072,37.03597,3.28149,31.60657,36.27331,579045625,13,14
15,AdAc3c2c,AA32 (3s),(A32)A,12,44.46024,0.00467,0.00482,23.56292,0.00422,20.89732,0.00236,32.14625,0.83261,38.91608,5.81028,25.82333,38.10327,3.60177,32.3171,36.0734,289528236,15,15
